term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
appropriate|0.007338378911523515|0.0249031412535217|0.00846558126429376|0.049611906792144535|0.01794908930749445|-0.032406624088315066|0.028170859875672118|0.025988479543196163|0.003784304549358876|-0.012220764559090167
arises|0.015040556614470853|0.007604820942122733|-0.028039814009476537|0.02385778994961685|0.005826474636652754|-0.047678869489366914|0.06709351130346776|0.04174344543781301|0.021777714959718628|-0.01408339955603953
arising|0.019402321356587794|0.007790897251139051|0.02083530519783481|0.0025110198017505455|-0.015727830127039013|-0.0029614890924510207|0.007525593818369795|0.01898640674564401|0.01993922855217858|0.01972873815353794
assigned|0.03444044205547599|-0.01568497143391604|-0.017807048079732976|-0.05009140299906187|0.044988843521440884|0.06109502241138757|-0.035525024807195826|0.020188716327069367|-0.015143985828074455|-0.028675154738968086
attached|0.02373737208970111|-0.012616091604985403|-0.003343223538130624|0.018547698736627597|-0.0258839749650307|-0.043260127400596225|0.06323603271216907|-0.0253590487574006|-0.003511159864121638|0.011527363324888738
attainment|0.006282891390438329|-0.017232151533437913|0.0589976967260933|0.013407881660879015|-0.019054124403713568|0.010809778483012194|0.003552937052252339|-0.06005801069228452|0.06221327441655128|0.062897583797538
attribute|0.016088487219451893|-0.008922111517262507|0.022735578274840493|-0.00449778981875558|-0.03558015894120718|-0.04140105135765071|0.019580620550492943|-0.017648121702432584|0.00017571984742472183|0.013343925253919878
attributes|0.07285558166299648|-0.00689525927323736|-0.007950600973848492|-0.0037629701878414807|0.022275475095421143|-0.01346477173977982|0.027945903826620856|-0.03055755189655239|0.020426042851750943|-0.0018436875808285195
auspice|-0.04013926023149155|-0.015650582437417442|-0.013877118438709337|0.015600268249543988|-0.04629245042182463|0.023379774205214397|-0.030096046738797323|-0.028286653481897312|0.0006206418283529588|-0.009366583274010671
authority|-0.016215454779864753|0.020836413247172985|-0.015827990626891445|0.015278148740040316|0.015717576853785588|0.045180951136821176|-0.0040279615638320375|0.09137754790869117|0.011988898316522247|-0.060508825823776084
away|-0.001461695791177977|0.0018991597196467464|0.10626032185576341|0.05167563108398461|0.03619319916342109|0.018647042945149964|0.0300411182430431|-0.03634870732344042|-0.026437449342997767|0.027471256586919963
bad|-0.029546456665372103|0.011214961732994232|0.01735757534850958|0.03856354162172949|0.04206864195454316|-0.006088419699182145|-0.08429932209115776|-0.041080148244241395|0.04679757993223789|-0.0915302958892931
beginning|0.029492139366908535|0.013492605580710772|0.01754987016511464|0.045605358667178734|0.016092106864155888|-0.03440926603132332|-0.021150211306489884|-0.025738180591777876|-0.004111019080956988|-0.02787258661044415
belonging|-0.008395729677914882|-0.02122804170739907|0.020540643247626913|0.0027325355520207094|-0.004075076620950177|0.015435069088249312|-0.006468597396521969|-0.01405968886378381|0.009717594635341397|-0.03663509686865142
beneath|0.006351160558459527|-0.024821032268670523|0.022119591624373443|0.019680336862103565|0.000495041717072527|0.017495860205555713|0.01255031178531037|-0.047759540044374965|0.029217147816780885|-0.0731951964008125
better|-0.03679177164475933|-0.002919316476030656|-0.03639208809759471|0.02002072104965399|0.030714295106659305|-0.021919998737822518|-0.034018998895714816|0.006902702324472207|0.005477995474835321|-0.05883213651282115
bird|-0.013507849187458244|-0.07883475852073486|-0.005435698319912397|-0.005078042371602121|-0.007628182585895569|-0.017099413923211133|0.01992333546214387|-0.07254650133283444|-0.018248248772308982|0.040832231616922086
blame|-0.005995817826108222|0.07348661056500055|-0.04377996786461953|0.02591931549404788|0.0672156307342625|-0.022876131885106673|-0.03581628428186911|-0.04689725328408655|0.03374543105973447|0.06963297271996324
blessing|-0.006308738252110151|-0.023758018051344684|-0.02170800547606795|0.05376185219637202|0.062040691940034066|-0.03815468549904722|-0.0236855699670768|0.00785399651181765|0.015919346654162364|0.05945467160599913
bound|-0.012011523963694459|-0.013140414405158602|0.05206886335507455|0.0076712564139407744|0.028438013798231722|0.0013556347569101985|0.006043328575478525|0.04307128483767807|0.04786821575987571|-0.10365103685745768
bright|0.015438155855316611|0.019636362182282|0.004196897423661501|-0.002977971190138371|-0.016067089652037417|0.03166521828190725|0.02270449812792442|-0.0285993530163437|-0.055007067279626676|0.011422860031341782
brightness|0.020169807955823453|-0.013620923787325535|0.04404697580365684|0.016644655588796953|0.018124373025862228|-0.054592491467112654|0.058693793308237895|-0.05881087916527092|-0.011472415075297657|0.04442343417141518
brilliant|0.024559502486863134|0.005700744657631016|0.0269699239346286|0.04403947832748013|0.0056794874480809885|-0.033711606555774556|0.03144619740196587|0.004151649692203229|-0.005293544375457031|-0.011420587771714492
bring|0.03623708938189753|0.020430691910397147|-0.00034230862263003476|-0.0015272513559360524|0.018366427839950048|-0.03033249097539858|0.038203320330275424|0.014464353573027664|0.011897498655467948|-0.012873370843691332
brought|-0.02162145374921195|0.03674920680515767|0.05585233231048716|0.008062360618382133|-0.009391979067702345|-0.05772478124011503|-0.08015606554142109|-0.005336607682786425|-0.05010217797895699|-0.00047519692899447303
calamity|0.006532881785463957|-0.005234519726094419|0.018813715699817754|-0.0124852168496289|-0.003950203996088461|0.010898539307320092|0.03507946159756641|-0.021286856284126937|0.0020164985387835566|-0.029925346219600222
caldron|-0.004683021710215531|-0.013495612308636922|-0.0029024338263133496|-0.05588650050944735|-0.05845084177502562|0.030590762273921598|-0.031964607610935454|-0.034152061287725397|0.04029115524647463|-0.021255822149737754
called|0.04631875835691964|-0.0097815653529276|-0.013399180417567876|-8.187895222902975e-05|0.04543540026867526|0.005238415289133291|-0.05476591140569719|-0.0011131258232173768|-0.02272936400131771|0.022896011939157867
carriage|-0.030649469792032726|1.3461321528785215e-05|-0.017001435768304894|0.07876948634471029|0.034962172090977156|-0.12691204919524046|-0.09250619075089782|0.023785914499946104|-0.06462703921108545|-0.08436380636999782
carried|0.010626185450904567|0.00959030031840322|0.045726463742109515|0.0018725562891814345|-0.009447547865861102|0.0019311473670369657|-0.004430178337421967|0.015796162576842958|0.019392346179043608|0.02057256029109
carry|-0.006284236398905939|0.03150733257934564|-0.028098923726695903|0.028154383044294073|0.006536709155988451|-0.0033346754361164295|0.018973542943842663|-0.00668114170955991|-0.02232235461191636|0.02166225145883791
case|-0.018587210170612378|-0.003055248352650016|-0.029683270002291418|4.931447027515839e-05|-0.021041343233141017|-0.04840903885531924|-0.004305028994991878|0.056934829178920766|-0.01716845575786063|-0.04699471088765
cause|-0.02088406789675201|0.020893510253632307|-0.008725806496631523|0.0072695242328415476|-0.07249766094048724|0.022297066910777857|-0.028438511566937417|0.01620999852954667|0.026097099685963798|0.04100147148557013
caused|-0.0032658407106861886|-0.028490816580418615|-0.007531545803900562|-0.03890419182819859|0.02399657389305682|0.0410921032200721|-0.04079980373284828|-0.003956524354012832|-0.029158977741373052|-0.03183743538664504
caution|-0.020280813084247392|0.013809073024589816|-0.02765089961060165|-0.018542391824590887|0.003971776536778733|-0.026130950688869573|-0.027737864688383334|0.04643019242692667|-0.014398901134529471|0.002764350802429255
central|-0.011742494646841998|-0.0021758217783604153|-0.002328472160337337|0.03458391943292243|0.014841581002137278|-0.03194242460911297|-0.010114671892671298|-0.03258616428300295|0.014173808214740225|0.007692659940219106
centre|-0.013859372615605324|0.03398994195274492|-0.0015196301109151606|0.008956638114882188|-0.024503438418555703|-0.037962795198480045|0.004779475593823222|-0.013408166283496243|0.0030398149349378416|0.0009118036028886053
change|0.010395254484238113|0.021859622243035334|0.19953785580069963|0.0025446937915738856|0.022609753582716562|-0.010225326766541629|-0.049179753986916125|-0.028563930125593058|-0.002087259179477476|0.05838506991613469
changes|0.05675849087811592|0.020891729923933573|0.12007879446233669|-0.044750729394764974|0.01991254930304515|0.04069157452534516|-0.05353119226943319|-0.11062049630325|-0.018610833666560175|0.005646579950128864
changing|0.016225099955600255|-0.0043722792871794675|0.05403695019965115|0.0036304935389141024|0.02619596529073514|0.03936677870274576|0.014608173950989033|0.011101960986983454|0.007545937287985251|-0.00648239831976173
chapter|0.3790769612134876|0.08069345297901405|-0.09011548043358618|-0.10636583199875194|-0.04392991747472338|-0.020244250752234395|-0.15738193755668514|-0.00411480215618584|-0.051116240762514635|0.10927598017489185
character|-0.005023393924822558|0.0022007276885791763|0.013923424128665556|0.012906749522691692|-0.002392332343400137|-0.0037168107128702|-0.0032823549197327287|-0.003486607766757164|0.00046906411191652444|-0.005797871633059788
characters|0.04252635929148371|-0.008488282474804798|0.004287074013801237|0.00024491993405915|-0.011100479956486203|-0.006205075364186442|-0.03414365187986307|0.008331259999308156|-0.016503794905182664|0.0034366772043113005
chinese|0.026528437421803937|0.01864362921711164|-0.023721175624219253|0.03279577783035155|0.021123723582751552|-0.029274721513343413|-0.03740763328135093|-0.04676582873157783|0.008640843137506307|0.04427835478313322
circumstances|-0.00619778349708477|-0.02110471380386206|-0.02300661315270745|0.04475598528421758|0.016360998659470733|-0.020046486679161046|0.030473561086530966|0.04853401739390871|0.02375042712357823|-0.029391819681717227
city|-0.02119608952196489|0.023691750059115484|-0.029503980536075343|0.0008899140087568667|0.061308747084391824|0.03673021876733226|0.017179107539056233|-0.005285665503071684|-0.024506521560990348|0.017497929541810377
clear|0.013883317335039294|0.000544770460597418|0.03845446653795789|0.044367122203724754|-0.02250673424066941|0.02091704044687305|0.007077294025205362|-0.012171118913952143|-0.05398320245462533|0.00518590529806356
clouds|0.03090194388624982|-0.010978363147750306|-0.039625347386279285|-0.00034965976142843706|-0.006809680291783559|-0.04796576721464005|0.004050832020792179|-0.03375049269274802|0.018083858185341337|-0.03786384982207868
come|0.0018168629998005317|0.026026248617219073|0.01926499838016324|0.015952745632916064|-0.009261918717997827|0.018382880760161934|0.012885368159882567|0.03620473565578625|0.013457990511948199|-0.0583960090642661
comes|0.0041255663308723|0.00651581037973121|0.007586863485698217|0.024956362479112603|-0.004715147962766997|-0.013706878612291196|-0.006252817659324623|0.012751088617265325|-0.01630423996541591|-0.0631002394755269
coming|0.010561856350139062|-0.008320974326277654|-0.012873815096669815|0.02171691671458709|-0.017807035557828452|-0.008697695257291988|-0.015241200493696086|-0.01284330905891538|-0.01490632902690435|-0.028331588625127264
common|0.003360804735822912|0.037760315265096114|-0.03216996989732585|0.05767182990755888|0.029441455681625543|-0.01846855494960353|-0.007457722735930323|-0.00923434851399999|0.045948323075514226|-0.045472602091967546
compare|0.02045914816692096|0.01210936749262389|0.018368199508117463|0.02405556218559275|0.01827617210778184|0.003385500291740654|0.026328742218403884|-0.02021802843095688|0.002833024949395006|-0.02131952029590435
complete|0.021761179565016893|-0.002056555973526695|0.0006667348103029805|0.0022064861208623268|-0.023152641774865305|0.003134471752713446|-0.03510323630456149|0.00045255881988970483|-0.0025646455797098864|-0.016706875004997644
concluding|0.021929713773343164|-0.015174624417476258|0.020251310981674417|0.010462460716857296|-0.013038861780705482|0.011184106057080175|-0.0130713617297211|-0.03546032455072529|-0.03262654502781473|0.005799424476233486
conclusion|-0.004044030949780046|0.017515201677545507|0.02099447788277446|0.014364649659826713|-0.0005526199939343332|-0.00020791218175782386|0.004718973514874601|-0.04092718537356536|0.038176847558754154|-0.001826105002592387
